_id, description, financings, states, title
{ "$oid" : "5265ded840a44e0e89000029"},"ELABORAÇÃO DO PROJETO EXECUTIVO DA ARENA DA AMAZONIA E SUA CONSTRUÇÃO.",[ { "$oid" : "5268122cf845eb0000000024"}],[ "Amazonas"],"Arena da Amazônia"
{ "$oid" : "5265efb840a44e0e89000060"},"Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).",[ { "$oid" : "5267390a054aaf0000000015"} , { "$oid" : "5268125cf845eb0000000027"}],[ ],"Termelétricas a gás no município de Santo Antônio dos Lopes (MA)"
{ "$oid" : "5265bfe840a44e0e89000003"},"IMPLANTAÇÃO DO PLANO DE INVESTIMENTOS 2009/2012 DO GRUPO ALL, REFERENTE AS EMPRESAS AMÉRICA LATINA LOGÍSTICA MALHA SUL S/A., FERRONORTE S/A. - FERROVIAS NORTE BRASIL, FERROBAN-FERROVIAS BANDEIRANTES S/A. E FERROVIA NOVOESTE S/A.",[ { "$oid" : "52673e084e78700000000003"} , { "$oid" : "5268184bf845eb000000002e"}],[ ],"Plano de investimentos ALL Logística 2009-2012"
{ "$oid" : "525d9777d552254d2f000005"},"IMPLANTACAO DE INFRA-ESTRUTURA PARA EXPLORACAO DE MINA DE BAUXITA, COM\r\nCAPACIDADE DE PRODUCAO DE 2,6 MILHOES T/ANO, EM JURUTI-PA.",[ { "$oid" : "52673962054aaf000000001b"} , { "$oid" : "52681887f845eb0000000030"}],[ "Pará"],"Mina de Bauxita Alcoa em Juruti (PA)"
{ "$oid" : "5268204ef845eb000000003c"},"IMPLANTACAO DE UMA UNIDADE INTEGRADA EM CUIABA-MT, COM CAPACIDADE PARA PRODUZIR 1,2 MILHAO DE T/ANO DE CIMENTO.",[ { "$oid" : "52682083f845eb000000003e"}],[ "Mato Grosso"],"Planta de Cimento em Cuiabá (MT)"
{ "$oid" : "5265df3940a44e0e8900002b"},"EXPANSAO DA UNIDADE DE FABRICACAO DE BOPP - POLIPROPILENO BIORIENTADO LOCALIZADA EM MANAUS (DE 37.500 TONELADAS/ANO PARA 112.500 TONELADAS/ANO), A PARTIR DA IMPLANTACAO DE DUAS NOVAS LINHAS DE PRODUCAO.",[ ],[ "Amazonas"],"Unidade Produtora de Polipropileno em Manaus (AM)"
{ "$oid" : "5265df6440a44e0e8900002d"},"EXPANSAO DO SANEAMENTO AMBIENTAL E DA INFRAESTRUTURA URBANA, FORTALECIMENTO ECONOMICO DA PROCUCAO RUAL FAMILIAR E DO ECOTURISMO, DESENVOLVIMENTO DO SETOR INDUSTRIAL E MODERNIZACAO DA GESTAO PUBLICA, NO AMBITO DA FASE V DO PROGRAMA INTEGRADO DE DESENVOLVIMENTO SUSTENTAVEL DO ESTADO DO ACRE - PIDS V.",[ ],[ ],"Programa integrado de desenvolvimento sustentável do Estado do Acre"
{ "$oid" : "5265df9d40a44e0e8900002f"},"EXPANSÃO DO SISTEMA INTEGRADO DE TRANSPORTES - SIT, NO MUNICÍPIO DE SÃO LUÍS-MA, ABRANGENDO INTERVENÇÕES NAS PRINCIPAIS VIAS, IMPLANTAÇÃO DE CICLOVIAS, CANALIZAÇÃO DE TRECHO, BEM COMO AMPLIAÇÃO DE UM TERMINAL DE TRANSPORTE PÚBLICO",[ ],[ ],"Sistema de transportes de São Luís (MA)"
{ "$oid" : "5265e00c40a44e0e89000031"},"FORTALECIMENTO DO TURISMO;IMPLANTAÇÃO DE INFRA-ESTRUTURA URBANA E DE SANEAMENTO, DE SAUDE E EDUCAÇÃO, DE DESENVOLVIMENTO ECONOMICO E INTEGRAÇÃO, DE COMUNICAÇÃO E DESENVOLVIMENTO SOCIAL; E MODERNIZAÇÃO DO SISTEMA DE GESTAO ESTADUAL, NO AMBITO DOS COMPONENTES I A VII DO PIDSIII.",[ { "$oid" : "52680ba6f845eb0000000009"} , { "$oid" : "5268100cf845eb000000001a"}],[ "Acre"],"Saneamento, infra-estrutura urbana e outros investimentos no Estado do Acre"
{ "$oid" : "5265e06640a44e0e89000033"},"Implantação de estação retificadora de energia elétrica na subestação de Porto Velho (RO) e de estação inversora na subestação de Araraquara 2 (SP).",[ ],[ ],"Estações retificadora e inversora de energia elétrica"
{ "$oid" : "5265e10840a44e0e89000036"},"IMPLANTACAO DA LINHA DE TRANSMISSAO EM 500 KV, ENTRE A SUBESTACAO CUIABA E RIBEIRAOZINHO, - MT; E DA LINHA DE TRANSMISSAO EM 500 KV, ENTRE A SUBESTACAO RIBEIRAOZINHO E RIO VERDE NORTE - GO,  REFERENTES AO LEILAO DO COMPLEXO DO RIO MADEIRA.",[ ],[ "Goiás" , "Mato Grosso"],"Linha de transmissão entre Cuiabá, Ribeirãozinho e Rio Verde do Norte"
{ "$oid" : "5265e60b40a44e0e89000039"},"IMPLANTACAO DA LINHA DE TRANSMISSAO ORIXIMINA (PA) - ITACOATIARA (AM) - CARIRI (AM), EM 500 KV, COM APROXIMADAMENTE 586 KM DE EXTENSAO, E DAS SUBESTACOES ITACOATIARA E CARIRI.",[ { "$oid" : "526811ddf845eb0000000020"}],[ "Amazonas" , "Pará"],"Linha de transmissão entre Oriximiná (PA), Itacoatiara (AM) e Cariri (AM)"
