project, amount, contractDate, _id, description, isDirect
{ "$oid" : "525c5a9b72e56d0000000003"},1087812308,{ "$date" : "2011-06-16T00:00:00.000Z"},{ "$oid" : "526738ae054aaf0000000011"},"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL Nº 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",true
{ "$oid" : "5265e94040a44e0e8900003e"},1050000000,{ "$date" : "2012-10-02T00:00:00.000Z"},{ "$oid" : "526738eb054aaf0000000013"},"IMPLANTACAO DA LINHA DE TRANSMISSAO PORTO VELHO (RO) - ARARAQUARA 2 (SP), EM 600 KV, COM APROXIMADAMENTE 2.375 KM DE EXTENSAO, INTEGRANTE DO SISTEMA DE TRANSMISSAO DO RIO MADEIRA.",true
{ "$oid" : "5265efb840a44e0e89000060"},887516000,{ "$date" : "2012-12-18T00:00:00.000Z"},{ "$oid" : "5267390a054aaf0000000015"},"IMPLANTACAO DE DUAS USINAS TERMICAS A GAS, UTE MARANHAO IV E V, COM 675,2 MW DE POTENCIA INSTALADA, OBJETO DO LEILAO A-5 DE 2008; NO MUNICIPIO DE SANTO ANTONIO DOS LOPES - MA.",true
{ "$oid" : "5265be5ed984b94f87000003"},808350800,{ "$date" : "2008-03-11T00:00:00.000Z"},{ "$oid" : "52673927054aaf0000000017"},"IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",true
{ "$oid" : "5265ee3a40a44e0e89000058"},797648000,{ "$date" : "2009-12-16T00:00:00.000Z"},{ "$oid" : "52673944054aaf0000000019"},"IMPLANTAÇÃO DA UTE PORTO DO ITAQUI, LOCALIZADA NO DISTRITO INDUSTRIAL DE SÃO LUIS, MUNICÍPIO DE SÃO LUIS-MA, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 360 MW, BEM COMO LINHA DE TRANSMISSÃO EM 230 KV, CIRCUITO DUPLO, CONECTANDO-SE AO SISTEMA ELÉTRICO DA ELETRONORTE, NA SUBESTAÇÃO SÃO LUIS II.",true
{ "$oid" : "5265edbf40a44e0e89000054"},736807000,{ "$date" : "2012-12-13T00:00:00.000Z"},{ "$oid" : "526739fb054aaf000000001e"},"IMPLANTACAO DA UHE SANTO ANTONIO DO JARI COM 373 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO JARI, ENTRE OS MUNICIPIOS DE ALMEIRIM (PA) E LARANJAL DO JARI (AP), OBJETO DO 11§ LEILAO DE ENERGIA NOVA (2010) DA ANEEL.",true
{ "$oid" : "5265bfe840a44e0e89000003"},691951500,{ "$date" : "2009-06-06T00:00:00.000Z"},{ "$oid" : "52673e084e78700000000003"},"EXPANSÃO DA MALHA DA ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A. (EXFERRONORTE), COM A CONSTRUÇÃO DE CERCA DE 262 KM ENTRE ALTO ARAGUAIA ERONDONOPOLIS, ESTADO DO MATO GROSSO.",true
{ "$oid" : "5265de9d40a44e0e89000027"},691702000,{ "$date" : "2008-03-20T00:00:00.000Z"},{ "$oid" : "52673e564e78700000000008"},"CONSTRUÇÃO DO GLPDUTO URUCU-COARI, DO GASODUTO COARI-MANAUS, DE RAMAIS DE ESCOAMENTO EM SETE MUNICÍPIOS E DE DUAS ESTAÇÕES DE COMPRESSÃO.",true
{ "$oid" : "5265c55d40a44e0e89000006"},49821767,{ "$date" : "2011-05-10T00:00:00.000Z"},{ "$oid" : "52673ea24e78700000000010"},"10A SULC DO CALC 08208321(METAIS)/DULC 11/VOT CIMENTOS):    IMPLANTACAO DE UMA UNIDADE DE MOAGEM DE CLINQUER PARA FABRICACAO DE CIMENTO, EM SAO LUIS-MA.",true
{ "$oid" : "5265c5a840a44e0e89000008"},30681000,{ "$date" : "2012-04-27T00:00:00.000Z"},{ "$oid" : "52673edf4e78700000000016"},"AMPLIACAO DE TANCAGEM E MODERNIZACAO DAS BASES OPERACIONAIS E POOLS LOCALIZADOS NOS ESTADOS DE SAO PAULO, MINAS GERAIS, RIO DE JANEIRO, PARANA, RIO GRANDE DO SUL, BAHIA, MATO GROS-SO, MATO GROSSO DO SUL, PAR , AMAPA, AMAZONAS E RORAIMA.",true
{ "$oid" : "5265c5e640a44e0e8900000b"},63546048,{ "$date" : "2008-05-14T00:00:00.000Z"},{ "$oid" : "52673f154e78700000000017"},"AMPLIAÇÃO DO ACESSO AOS SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO A POPULAÇÃO URBANA DE RONDONOPOLIS(MT), BEM COMO A IMPLEMENTAÇÃO DE MELHORIAS NOS SISTEMAS EXISTENTES, VISANDO A RACIONALIZAÇÃO DE CUSTOS E O AUMENTO DA QUALIDADE DOS SERVICOS.",true
