data,valor,tipo,beneficiário,projeto
04/11/2009,227235628,direto,ALUMINA LIMITED DO BRASIL S/A,Implantação de unidade em refinaria de alumina em São Luís (MA).
06/08/2009,691951500,direto,ALL AMÉRICA LATINA LOGÍSTICA MALHA NORTE S/A,Expansão da malha ferroviária (ex-Ferronorte) entre Alto Araguaia (MT) e Rondonópolis (MT).
11/09/2009,373221157,direto,ALL AMÉRICA LATINA LOGÍSTICA MALHA NORTE S/A,Plano de Investimentos ALL Logística
20/03/2008,687286400,direto,ALCOA ALUMINIO S/A,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC."
02/04/2009,745141596,direto,ALCOA ALUMINIO S/A,Implantação de infraestrutura de mina de bauxita em Juruti (PA).
14/02/2008,650285366,direto,ALCOA ALUMINIO S/A,Implantação de unidade em refinaria de alumina em São Luís (MA).
04/02/2009,198704426,direto,ALCOA ALUMINIO S/A,Implantação de unidade em refinaria de alumina em São Luís (MA).
10/02/2009,60000000,indireto,AGUAS DO AMAZONAS S/A,Investimentos em saneamento e abastecimento de água em Manaus (AM).
19/01/2009,60000000,direto,AGUAS DO AMAZONAS S/A,Investimentos em saneamento e abastecimento de água em Manaus (AM).
13/09/2011,247458633,direto,VOTORANTIM CIMENTOS S.A,Implantação de unidade produtora de cimento em Cuiabá (MT).
25/06/2009,159319172,direto,VOTORANTIM CIMENTOS N/NE S/A,Implantação de fábrica de cimento em Xambioá (TO).
10/05/2011,49821767,direto,VOTORANTIM CIMENTOS N/NE S/A,Implantação de unidade de fabricação de cimento em São Luís (MA).
19/11/2008,34187242,direto,VOTORANTIM CIMENTOS N/NE S/A,Implantação de unidade de moagem de cimento no município de Barbacena (PA).
29/07/2011,28050791,direto,VOTORANTIM CIMENTOS N/NE S/A,Implantação de fábrica de cimento em Xambioá (TO).
12/04/2010,84100000,direto,VIDEOLAR S/A,Fábrica de Polipropileno em Manaus (implantação)
10/12/2012,30313000,direto,VIDEOLAR S/A,Fábrica de Polipropileno em Manaus (expansão)
24/09/2012,2562235000,direto,VALE S/A,"Investimentos na estrada de ferro Carajás, terminal ferroviário Ponta da Madeira e Terminal Marítimo Ponta da Madeira."
24/09/2012,1320721000,direto,VALE S/A,"Investimentos na estrada de ferro Carajás, terminal ferroviário Ponta da Madeira e Terminal Marítimo Ponta da Madeira."
11/03/2008,808350800,direto,VALE S/A,"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC."
30/06/2010,175882586,indireto,VALE S/A,Compra de vagões para ferrovia de Carajás.
25/03/2011,102536220,direto,VALE S/A,Compra de sistema de manuseio e transporte para o porto em São Luís (MA).
30/06/2010,85971308,indireto,VALE S/A,"Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA)."
29/06/2010,85971308,direto,VALE S/A,"Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA)."
30/06/2010,49156089,indireto,VALE S/A,"Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA)."
29/06/2010,49156089,direto,VALE S/A,"Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA)."
16/12/2009,797648000,direto,UTE PORTO DO ITAQUI GERAÇÃO DE ENERGIA LTDA.,"Implantação da termelétrica Porto do Itaqui no município de São Luís (MA), além de linha de transmissão."
