nome,perfil,total_financiado
LIQUIGAS DISTRIBUIDORA S/A,"Empresa do setor de engarrafamento, distribuição e comercialização de Gás Liquefeito de Petróleo (GLP). É propriedade da Petrobrás.",130000000
MANAUS TRANSMISSORA DE ENERGIA S/A,"Consórcio responsável pela linha Oriximiná (PA) - Itacoatiara (AM) - Cariri (AM). É controlada pela Abengoa, Eletronorte e Chesf.",401000000
MC LOG S/A LOGISTICA E TRANSPORTE,Empresa do ramo de transporte e logística viário e aeroportuário no Estado do Pará.,496248
MINERACAO RIO DO NORTE SA,"Maior produtora brasileira de bauxita. Os principais acionistas da empresa são Vale, Alcoa, CBR, Alcan e BHPBilliton.",53322915
MUNICÍPIO DE BELÉM,,118183554
MUNICÍPIO DE RONDONÓPOLIS,,68544167
MUNICÍPIO DE SINOP,,38275552
MUNICÍPIO DE SÃO LUIS,,12350000
MUNICÍPIO DE SÃO LUÍS,,12350
MUNICÍPIO DE VÁRZEA GRANDE,,7865259
MUNICÍPIO RIO BRANCO,,32211
NORTE BRASIL TRANSMISSORA DE ENERGIA S/A,"Sociedade que atua na transmissão de energia e é composta pela Eletronorte, Eletrosul, Abengoa Brasil e Andrade Gutierrez",1050000000
NORTE ENERGIA S/A,"Consórcio responsável pela UHE Belo Monte, composto pela Eletrobrás, Eletronorte, Chesf, Petros, Funcef, Neo Energia, Cemig, Light, Vale e Sinobrás.",25387812308
PARECIS ENERGIA S.A.,"Responsável pela PCH Parecis, é subsidiária da GPI Participações e Investimentos, holding que desenvolve projetos, estrutura operações financeiras e participa de uma série de empreendimentos no campo da infra-estrutura, focado em saneamento e energia elétrica.",13000000
PORTO VELHO TRANSMISSORA DE ENERGIA S/A,Sociedade responsável por estações e subestações em Porto Velho. É controlada pela Centrais Elétricas do Sul do Brasil S/A – Eletrosul,283410898
RIO BRANCO TRANSMISSORA DE ENERGIA S/A,Sociedade responsável pela linha de transmissão Porto Velho - Albuna - Rio Branco. É controlada pela Centrais Elétricas do Norte do Brasil S/A – Eletronorte.,276000000
RONDON ENERGIA S.A.,Responsável pela PCH Rondon. Sem mais informações.,12000000
SALTO JAURU ENERGETICA S/A - SAJESA,"Responsável pela PCH Salto Jauru. Cerca de 70% da empresa é do grupo Brascan, atual Brookfield Brasil, grupo gestor de investimentos com negócios nos setores mobiliário, de infraestrutura, florestal, agropecuário, de private equity e financeiro.",56677850
SANTA GABRIELA ENERGETICA S/A,"Empresa do Grupo Brennand Energia, divisão do Grupo Brennand, e que atua em geração, comercialização e gestão de Energia Elétrica, com negócios nos estados de Mato Grosso e Mato Grosso do Sul.",73792000
SANTO ANTONIO ENERGIA S/A,"Concessionária responsável pela implantação e operação da Usina Hidrelétrica Santo Antônio. São acionistas Furnas (39%), Caixa FIP Amazônia Energia (20%), Odebrecht Energia (18,6%), Andrade Gutierrez (12,4%) e Cemig (10%).",6135172400
SAPEZAL ENERGIA S.A.,"Empresa responsável pela PCH Sapezal e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.",14700000
SUEZ ENERGIA RENOVAVEL S/A,"O grupo francês GDF SUEZ é o segundo maior do mundo no ramo de energia, atuando na geração e distribuição de eletricidade, gás natural e energia renovável.",1048967200
