id,uf,name,lat,lon,is_capital
2509107,PB,Mari,-7.059424,-35.318044,false
2509156,PB,Marizópolis,-6.827479,-38.35283,false
2509206,PB,Massaranduba,,,false
2509305,PB,Mataraca,-6.59673,-35.05308,false
2509339,PB,Matinhas,-7.112346,-35.757382,false
2509370,PB,Mato Grosso,,,false
2509396,PB,Maturéia,-7.261879,-37.350992,false
2509404,PB,Mogeiro,-7.285169,-35.483182,false
2509503,PB,Montadas,-7.111567,-35.908198,false
2509602,PB,Monte Horebe,-7.204024,-38.583762,false
2509701,PB,Monteiro,-7.883626,-37.118419,false
2509800,PB,Mulungu,,,false
2509909,PB,Natuba,-7.635142,-35.558629,false
2510006,PB,Nazarezinho,-6.911401,-38.322032,false
2510105,PB,Nova Floresta,,,false
2510204,PB,Nova Olinda,,,false
2510303,PB,Nova Palmeira,-6.671221,-36.422023,false
2510402,PB,Olho d'Água,,,false
2510501,PB,Olivedos,-6.984343,-36.241033,false
2510600,PB,Ouro Velho,-7.616037,-37.151857,false
2510659,PB,Parari,-7.309751,-36.652248,false
2510709,PB,Passagem,,,false
2510808,PB,Patos,-7.017427,-37.274702,false
2510907,PB,Paulista,,,false
2511004,PB,Pedra Branca,,,false
2511103,PB,Pedra Lavrada,-6.749974,-36.475813,false
2511202,PB,Pedras de Fogo,-7.391069,-35.106464,false
2511301,PB,Piancó,-7.192823,-37.92888,false
2511400,PB,Picuí,-6.508451,-36.349704,false
2511509,PB,Pilar,,,false
2511608,PB,Pilões,,,false
2511707,PB,Pilõezinhos,-6.842773,-35.531036,false
2511806,PB,Pirpirituba,-6.779222,-35.490558,false
2511905,PB,Pitimbu,-7.466398,-34.815133,false
2512002,PB,Pocinhos,-7.06658,-36.066779,false
2512036,PB,Poço Dantas,-6.398763,-38.490908,false
2512077,PB,Poço de José de Moura,-6.564011,-38.511054,false
2512101,PB,Pombal,-6.766059,-37.80027,false
2512200,PB,Prata,,,false
2512309,PB,Princesa Isabel,-7.731747,-37.988647,false
2512408,PB,Puxinanã,-7.154793,-35.954301,false
2512507,PB,Queimadas,,,false
2512606,PB,Quixabá,-7.022398,-37.145833,false
2512705,PB,Remígio,-6.815003,-35.921228,false
2512721,PB,Pedro Régis,-6.633226,-35.296567,false
2512747,PB,Riachão,,,false
2512754,PB,Riachão do Bacamarte,-7.253472,-35.669257,false
2512762,PB,Riachão do Poço,-7.1470419,-35.257242,false
2512788,PB,Riacho de Santo Antônio,-7.680234,-36.157018,false
2512804,PB,Riacho dos Cavalos,-6.44067,-37.648339,false
2512903,PB,Rio Tinto,-6.803828,-35.077569,false
2513000,PB,Salgadinho,,,false
2513109,PB,Salgado de São Félix,-7.353375,-35.43048,false
2513158,PB,Santa Cecília,,,false
2513208,PB,Santa Cruz,,,false
2513307,PB,Santa Helena,,,false
2513356,PB,Santa Inês,,,false
2513406,PB,Santa Luzia,,,false
2513505,PB,Santana de Mangueira,-7.547048,-38.323633,false
2513604,PB,Santana dos Garrotes,-7.381615,-37.981885,false
2513653,PB,Santarém,,,false
