Beneficiário,Perfil do beneficiário,Projeto,Descrição do projeto,Data,Valor,Área,Tipo
PARECIS ENERGIA S.A.,"Responsável pela PCH Parecis, é subsidiária da GPI Participações e Investimentos, holding que desenvolve projetos, estrutura operações financeiras e participa de uma série de empreendimentos no campo da infra-estrutura, focado em saneamento e energia elétrica.","Implantação da hidrelétrica de Parecis entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além da linha de transmissão.","IMPLANTACAO DA PCH PARECIS, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 15,4 MW, BEMCOMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 23 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",31/08/11,6500000,Área de Infraestrutura,direto
NORTE ENERGIA S/A,"Consórcio responsável pela UHE Belo Monte, composto pela Eletrobrás, Eletronorte, Chesf, Petros, Funcef, Neo Energia, Cemig, Light, Vale e Sinobrás.",Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).,"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",12/03/12,10800000000,Área de Infraestrutura,indireto
NORTE ENERGIA S/A,"Consórcio responsável pela UHE Belo Monte, composto pela Eletrobrás, Eletronorte, Chesf, Petros, Funcef, Neo Energia, Cemig, Light, Vale e Sinobrás.",Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).,"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",18/12/12,9814686000,Área de Infraestrutura,direto
NORTE ENERGIA S/A,"Consórcio responsável pela UHE Belo Monte, composto pela Eletrobrás, Eletronorte, Chesf, Petros, Funcef, Neo Energia, Cemig, Light, Vale e Sinobrás.",Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).,"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",31/03/11,3685314000,Área de Infraestrutura,direto
NORTE ENERGIA S/A,"Consórcio responsável pela UHE Belo Monte, composto pela Eletrobrás, Eletronorte, Chesf, Petros, Funcef, Neo Energia, Cemig, Light, Vale e Sinobrás.",Implantação da hidrelétrica de Belo Monte entre os municípios de Volta do Xingú (PA) e Altamira (PA).,"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL N§ 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",16/06/11,1087812308,Área de Infraestrutura,direto
NORTE BRASIL TRANSMISSORA DE ENERGIA S/A,"Sociedade que atua na transmissão de energia e é composta pela Eletronorte, Eletrosul, Abengoa Brasil e Andrade Gutierrez",Implantação da linha de transmissão Porto Velho (RO) - Araraquara (SP).,"IMPLANTACAO DA LINHA DE TRANSMISSAO PORTO VELHO (RO) - ARARAQUARA 2 (SP), EM 600 KV, COM APROXIMADAMENTE 2.375 KM DE EXTENSAO, INTEGRANTE DO SISTEMA DE TRANSMISSAO DO RIO MADEIRA.",02/10/12,1050000000,Área de Infraestrutura,direto
MUNICÍPIO RIO BRANCO,,"Investimento em infraesturtura urbana, além de outros, no município de Rio Branco (AC).","IMPLANTACAO DO PROGRAMA DE DESENVOLVIMENTO INTEGRADO DA CIDADE DE RIO BRANCO (AC), ENVOLVENDO OBRAS DE INFRA-ESTRUTURA URBANA, CONSOLIDACAO DO SETOR TURISTICO, FORTALECIMENTO DA PRODUCAO AGROFLORESTAL E DESENVOLVIMENTO SOCIAL",14/06/07,32211,,Operações diretas com Estado/Município
MUNICÍPIO DE VÁRZEA GRANDE,,Investimentos em saneamento e abastecimento de água no município de Várzea Grande (MT).,"REALIZAÇÃO DE INVESTIMENTOS EM SANEAMENTO AMBIENTAL, COMPREENDENDO AÇÕES RELACIONADAS A ABASTECIMENTO DE AGUA E ESGOTAMENTO SANITARIO NO AMBITO DO PMI.",13/05/08,7857380,Área de Inclusão Social,direto
MUNICÍPIO DE VÁRZEA GRANDE,,Investimentos em saneamento e abastecimento de água no município de Várzea Grande (MT).,"REALIZAÇÃO DE INVESTIMENTOS EM SANEAMENTO AMBIENTAL, COMPREENDENDO AÇÕES RELACIONADAS A ABASTECIMENTO DE AGUA E ESGOTAMENTO SANITARIO NO AMBITO DO PMI.",13/05/08,7879,,Operações diretas com Estado/Município
MUNICÍPIO DE SINOP,,Implantação de sistema de saneamento no município de Sinop (MT).,"IMPLANTAÇÃO DO SISTEMA DE ESGOTAMENTO SANITARIO DE SINOP/MT, NA REGIAO CENTRAL DA CIDADE VISAMDO ATENDER A CERCA DE 40% DA POPULAÇÃO URBANA",14/01/08,38240000,Área de Inclusão Social,direto
MUNICÍPIO DE SINOP,,Implantação de sistema de saneamento no município de Sinop (MT).,"IMPLANTAÇÃO DO SISTEMA DE ESGOTAMENTO SANITARIO DE SINOP/MT, NA REGIAO CENTRAL DA CIDADE VISAMDO ATENDER A CERCA DE 40% DA POPULAÇÃO URBANA",14/01/08,35552,,Operações diretas com Estado/Município
MUNICÍPIO DE SÃO LUÍS,,Investimentos no sistema de transportes no município de São Luís (MA).,"EXPANSÃO DO SISTEMA INTEGRADO DE TRANSPORTES - SIT, NO MUNICÍPIO DE SÃO LUÍS-MA, ABRANGENDO INTERVENÇÕES NAS PRINCIPAIS VIAS, IMPLANTAÇÃO DE CICLOVIAS, CANALIZAÇÃO DE TRECHO, BEM COMO AMPLIAÇÃO DE UM TERMINAL DE TRANSPORTE PÚBLICO",20/09/10,12350,,Operações diretas com Estado/Município
MUNICÍPIO DE SÃO LUIS,,Investimentos no sistema de transportes no município de São Luís (MA).,"EXPANSÃO DO SISTEMA INTEGRADO DE TRANSPORTES - SIT, NO MUNICÍPIO DE SÃO LUÍS-MA, ABRANGENDO INTERVENÇÕES NAS PRINCIPAIS VIAS, IMPLANTAÇÃO DE CICLOVIAS, CANALIZAÇÃO DE TRECHO, BEM COMO AMPLIAÇÃO DE UM TERMINAL DE TRANSPORTE PÚBLICO",20/09/10,12350000,Área de Inclusão Social,direto
MUNICÍPIO DE RONDONÓPOLIS,,Investimentos em saneamento e abastecimento de água no município de Rondonópolis (MT).,"AMPLIAÇÃO DO ACESSO AOS SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO A POPULAÇÃO URBANA DE RONDONOPOLIS(MT), BEM COMO A IMPLEMENTAÇÃO DE MELHORIAS NOS SISTEMAS EXISTENTES, VISANDO A RACIONALIZAÇÃO DE CUSTOS E O AUMENTO DA QUALIDADE DOS SERVICOS.",14/05/08,63719,,Operações diretas com Estado/Município
MUNICÍPIO DE RONDONÓPOLIS,,Investimentos em saneamento e abastecimento de água no município de Rondonópolis (MT).,"AMPLIAÇÃO DO ACESSO AOS SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO A POPULAÇÃO URBANA DE RONDONOPOLIS(MT), BEM COMO A IMPLEMENTAÇÃO DE MELHORIAS NOS SISTEMAS EXISTENTES, VISANDO A RACIONALIZAÇÃO DE CUSTOS E O AUMENTO DA QUALIDADE DOS SERVICOS.",14/05/08,63546048,Área de Inclusão Social,direto
MUNICÍPIO DE RONDONÓPOLIS,,"Investimentos em saneamento e drenagem, além de outros, no município de Rondonópolis (MT).","IMPLANTAÇÃO DE PMI EM AREA DE BAIXA RENDA NO MUNICÍPIO, COMPREENDENDO: DRENAGEM URBANA, SANEAMENTO AMBIENTAL E AÇÕES SOCIAIS.",14/05/08,4934400,Área de Inclusão Social,direto
MUNICÍPIO DE BELÉM,,"Investimentos em saneamento, drenagem e urbanização no município de Belém (PA).","IMPLANTAÇÃO DE INFRAESTRUTURA DE SANEAMENTO, DE MICRO E DE MACRODRENAGEM E DE URBANIZAÇÃO DE CARÁTER COMPLEMENTAR NA REGIÃO DAS SUB-BACIAS 3 E 4 DA BACIA HIDROGRÁFICA DA ESTRADA NOVA NO MUN-BELEM/PA",09/12/10,118065,,Operações diretas com Estado/Município
MUNICÍPIO DE BELÉM,,"Investimentos em saneamento, drenagem e urbanização no município de Belém (PA).","IMPLANTAÇÃO DE INFRAESTRUTURA DE SANEAMENTO, DE MICRO E DE MACRODRENAGEM E DE URBANIZAÇÃO DE CARÁTER COMPLEMENTAR NA REGIÃO DAS SUB-BACIAS 3 E 4 DA BACIA HIDROGRÁFICA DA ESTRADA NOVA NO MUN-BELEM/PA",09/12/10,118065489,Área de Inclusão Social,direto
MINERACAO RIO DO NORTE SA,,Aquisição de máquinas para mineração.,AQUISICAO DE MAQUINAS E ALTERACAO DE PROCESSO PARA REDUCAO DA UMIDADE DOS PRODUTOS GRANULADO E FINO.,21/06/12,53322915,Área de Insumos Básicos,indireto
MC LOG S/A LOGISTICA E TRANSPORTE,Empresa do ramo de transporte e logística viário e aeroportuário no Estado do Pará.,"Construção de balsas graneleiras, empurradores e balsa com guindaste para transporte de ferro gusa e minérios em Carajás (PA) e implantação de escola em Marabá (PA).","CONSTRUÇÃO DE DEZOITO BALSAS GRANELEIRAS, TRES EMPURRADORESE UMA BALSA COM GUINDASTE PARA TRANSPORTE DE FERRO GUSA E MINERIOS DA REGIAO DE CARAJAS.IMPLANTAÇÃO DE UMA ESCOLA PARA FLUVIARIOS, EM MARABA-PA.",26/11/08,496248,Área de Infraestrutura,direto
MANAUS TRANSMISSORA DE ENERGIA S/A,"Consórcio responsável pela linha Oriximiná (PA) - Itacoatiara (AM) - Cariri (AM). É controlada pela Abengoa, Eletronorte e Chesf.",Implantação da linha de transmissão Oriximiná (PA) - Itacoatiara (AM) - Cariri (AM) e das subestações Itacoatiara (AM) e Cariri (AM).,"IMPLANTACAO DA LINHA DE TRANSMISSAO ORIXIMINA (PA) - ITACOATIARA (AM) - CARIRI (AM), EM 500 KV, COM APROXIMADAMENTE 586 KM DE EXTENSAO, E DAS SUBESTACOES ITACOATIARA E CARIRI.",05/10/11,401000000,Área de Infraestrutura,direto
LIQUIGAS DISTRIBUIDORA S/A,"Empresa do setor de engarrafamento, distribuição e comercialização de Gás Liquefeito de Petróleo (GLP). É propriedade da Petrobrás.","Construção de uma central de abastecimento em São Luís (MA), além de outros investimentos.","AMPLIACAO E MODERNIZACAO DE SEIS CENTROS OPERATIVOS DE GLP; AMPLIACAO DO DEPOSITO DE J. PESSOA-PB; CONSTRUCAO DE UMA CENTRAL DE ABASTECIMENTO DE FLEXGAS NA ALUMAR,EM SAO LUIZ-MA; E CONSTRUCAO DE UMA ESTACAO DE CONTROLE DE COMPOSICAO DE FILTRAGEM P/PROPANO E BUTANO NO CENTRO OPERATIVO DE CAPUAVA-SP.",05/04/11,120782400,Área de Insumos Básicos,direto
LIQUIGAS DISTRIBUIDORA S/A,"Empresa do setor de engarrafamento, distribuição e comercialização de Gás Liquefeito de Petróleo (GLP). É propriedade da Petrobrás.","Construção de uma central de abastecimento em São Luís (MA), além de outros investimentos.","AMPLIACAO E MODERNIZACAO DE SEIS CENTROS OPERATIVOS DE GLP; AMPLIACAO DO DEPOSITO DE J. PESSOA-PB; CONSTRUCAO DE UMA CENTRAL DE ABASTECIMENTO DE FLEXGAS NA ALUMAR,EM SAO LUIZ-MA; E CONSTRUCAO DE UMA ESTACAO DE CONTROLE DE COMPOSICAO DE FILTRAGEM P/PROPANO E BUTANO NO CENTRO OPERATIVO DE CAPUAVA-SP.",05/04/11,9217600,Área de Insumos Básicos,direto
JAURU TRANSMISSORA DE ENERGIA S.A.,"Empresa responsável pela linha Jauru - Vilhena e propriedade da Elecnor Transmissão de Energia, da Isolux Energia e Participações e da Lintran do Brasil Participações.",Implantação de linha de transmissão Jauru (MT) - Vilhena (RO),"IMPLANTACAO E OPERACAO DO SISTEMA DE TRANSMISSAO LOCALIZADO NOS ESTADOS DO MT E RO, COMPOSTO PELA LINHA DE TRANSMISSAO JAURU - VILHENA, COM 354 KM DE EXTENSAO EM 230 KV, E, ADICIONALMENTE, INVESTIMENTOS SOCIAIS NAO CONTEMPLADOS NAS CONDICIONANTES DO PROCESSO DE LICENCIAMENTO AMBIENTAL.",26/12/12,152800000,Área de Infraestrutura,direto
JAURU TRANSMISSORA DE ENERGIA S.A.,"Empresa responsável pela linha Jauru - Vilhena e propriedade da Elecnor Transmissão de Energia, da Isolux Energia e Participações e da Lintran do Brasil Participações.",Implantação de linha de transmissão Jauru (MT) - Vilhena (RO),"IMPLANTACAO E OPERACAO DO SISTEMA DE TRANSMISSAO LOCALIZADO NOS ESTADOS DO MT E RO, COMPOSTO PELA LINHA DE TRANSMISSAO JAURU - VILHENA, COM 354 KM DE EXTENSAO EM 230 KV, E, ADICIONALMENTE, INVESTIMENTOS SOCIAIS NAO CONTEMPLADOS NAS CONDICIONANTES DO PROCESSO DE LICENCIAMENTO AMBIENTAL.",23/12/09,107000000,Área de Infraestrutura,direto
ITAFOS MINERACAO LTDA,"Empresa de mineração para produção de fertilizantes. É subsidiária da MbAC Fertilizer Corp., produtora integrada dos fertilizantes fosfato e potássio nos mercados brasileiro e latino-americano.",Implantação de unidade produtora de fertilizantes no município de Arraias (TO).,"IMPLANTACAO DE UNIDADE INDUSTRIAL PARA PRODUCAO INTEGRADA DE FERTILIZANTES DO TIPO SUPER FOSFATO SIMPLES(SSP) GRANULADO COM CAPACIDADE NOMINAL DE PRODUCAO DE 600 MIL T/ANO, NO MUNICIPIO DE ARRAIAS, ESTADO DO TOCANTINS,ALEM DE INVESTIMENTOS SOCIAIS NO AMBITO DA COMUNIDADE.",28/10/11,193104959,Área de Insumos Básicos,indireto
IPIRANGA PRODUTOS DE PETROLEO S/A,Maior empresa privada do segmento de distribuição de combustíveis no Brasil e a segunda entre todas as distribuidoras. É responsável pelas operações brasileiras do Grupo Texaco.,Plano de investimentos Ipiranga,"AMPLIACAO DE TANCAGEM E MODERNIZACAO DAS BASES OPERACIONAIS E POOLS LOCALIZADOS NOS ESTADOS DE SAO PAULO, MINAS GERAIS, RIO DE JANEIRO, PARANA, RIO GRANDE DO SUL, BAHIA, MATO GROS-SO, MATO GROSSO DO SUL, PAR , AMAPA, AMAZONAS E RORAIMA.",27/04/12,30681000,Área de Insumos Básicos,direto
INTERLIGACAO ELETRICA DO MADEIRA S/A,"Empresa constituída pela Companhia de Transmissão de Energia Elétrica Paulista (CTEEP), Companhia Hidro Elétrica do São Francisco e por Furnas.",Implantação de linha de transmissão e subestações coletores entre Porto Velho (RO) e Araraquara (SP),"IMPLANTACAO DE LINHA DE TRANSMISSAO, COM EXTENSAO DE 2.375 KM, DA SUBESTACAO COLETORA PORTO VELHO - RO A SUBESTACAO ARARAQUARA - SP (COMPLEXO DO RIO MADEIRA).",14/12/11,280000000,Área de Infraestrutura,direto
INTERCEMENT BRASIL S/A,"Empresa brasileira de capital privado controlada pela Camargo Corrêa S. A., a InterCement é líder nos mercados de cimento de Portugal, Argentina, Moçambique e Cabo Verde, vice-líder nos mercados brasileiro e paraguaio, além de atuar na África do Sul e Egito","Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC.","IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",13/06/11,34192000,Área de Infraestrutura,direto
IMMA - INDUST. METALURGICA E MECÂNICA DA AMAZONIA LTDA.,A IMMA - Indústria Metalúrgica e Mecânica da Amazônia - é uma empresa constituída por capitais da Alstom do Brasil e Bardella.,Instalação de fábrica de equipamentos hidromecânicos e de levantamento em Rondônia.,INSTALAÇÃO DE FÁBRICA DE EQUIPAMENTOS  HIDROMECÂNICOS E DE  LEVANTAMENTO EM RONDÔNIA E INVESTIMENTOS SOCIAIS.,08/02/10,71544000,Área de Insumos Básicos,direto
FERREIRA GOMES ENERGIA S/A,"A empresa é um dos principais investimentos em geração do Grupo Alupar Investimento S/A, holding do setor de energia, com atuação no Brasil na América Latina. A Alupar integra o Grupo Alusa, conglomerado de transmissão e geração de energia elétrica, engenharia e construção para infraestrutura, telecomunicações e TV a cabo e fabricação de estruturas e pré-moldados de concreto.",Construção da hidrelétrica Ferreira Gomes no município de Ferreira Gomes (AP).,"CONSTRUCAO DA USINA HIDRELETRICA FERREIRA GOMES, COM POTENCIA TOTAL INSTALADA DE 252 MW, A SER IMPLANTADA NO RIO ARAGUARI, NO MUNICIPIO DE FERREIRA GOMES - AP.",28/12/12,470610000,Área de Infraestrutura,direto
ESTADO DO PARÁ,,Reestruturação do sistema viário de Belém (PA).,REESTRUTURAÇÃO DO SISTEMA VIÁRIO ALIMENTADOR DA REGIÃO METROPOLITANA DE BELÉM.,02/07/10,100984800,Área de Inclusão Social,indireto
ESTADO DO PARÁ,,"Investimentos em saneamento, além de outros, no Estado do Pará em municípios na área de influência da Vale.","IMPLANTAÇÃO DE PROGRAMA DE INVESTIMENTOS EM SANEAMENTO, EDUCAÇÃO, SAÚDE E DESENVOLVIMENTO SOCIAL, NOS MUNICÍPIOS DO ESTADO DO PARA SITUADOS NA ÁREA DE INFLUÊNCIA DA COMPANHIA VALE DO RIO DOCE (VALE), COM RECURSOS NÃO REEMBOLS. PROVENIENTES DO FUNDO P/O DESENV. REGIONAL C/RECURSOS DA DESESTATIZAÇÃO FRD",30/06/10,37958795,Área de Inclusão Social,direto
ESTADO DO PARA,,"Investimentos em urbanismo e transporte, além de outros, no Estado do Pará.","IMPLANTACAO DO PROGRAMA DE INVESTIMENTOS NAS AREAS DE SAUDE, URBANISMO E INFRAESTRUTURA DE TRANSPORTE DO ESTADO DO PARA.",03/09/13,400000,,Operações diretas com Estado/Município
ESTADO DO PARA,,Reestruturação do sistema viário de Belém (PA).,REESTRUTURAÇÃO DO SISTEMA VIÁRIO ALIMENTADOR DA REGIÃO METROPOLITANA DE BELÉM.,02/07/10,100985,,Operações diretas com Estado/Município
ESTADO DO PARA,,"Investimentos em saneamento, além de outros, no Estado do Pará em municípios na área de influência da Vale.","IMPLANTAÇÃO DE PROGRAMA DE INVESTIMENTOS EM SANEAMENTO, EDUCAÇÃO, SAÚDE E DESENVOLVIMENTO SOCIAL, NOS MUNICÍPIOS DO ESTADO DO PARA SITUADOS NA ÁREA DE INFLUÊNCIA DA COMPANHIA VALE DO RIO DOCE (VALE), COM RECURSOS NÃO REEMBOLS. PROVENIENTES DO FUNDO P/O DESENV. REGIONAL C/RECURSOS DA DESESTATIZAÇÃO FRD",30/06/10,47789,,Operações diretas com Estado/Município
ESTADO DO PARA,,"Investimentos em saneamento e abastecimento de água, além de outros, no Parque de Ciência de Tecnologia Guama (PCT Guama) no Campus da Universidade Federal do Pará.","IMPLANTACAO DE INFRA-ESTRUTURA DE URBANIZACAO, SANEAMENTO,AGUA ENERGIA E COMUNICACAO DO PARQUE DE CIENCIA E TECNOLOGIA GUAMA (PCT GUAMA) A SER INSTALADO NO CAMPUS DA UNIVERSIDADE FEDERAL DO PARA, BEM COMO A CONSTRUCAO DOS PREDIOS PARAADMINISTRACAO E PARA A INCUBADORA DE EMPRESAS",29/12/09,35700,,Operações diretas com Estado/Município
ESTADO DO MATO GROSSO,,Infraestrutura urbana e turística do Mato Grosso,VIABILIZAR A IMPLANTAÇÃO DA INFRAESTRUTURA TURÍSTICA CONSTANTE DO PROGRAMA  DE DESENVOLVIMENTO ESTRATÉGICO DA CADEIA PRODUTIVA DO TURISMO DO ESTADO DO MATO GROSSO.,06/09/12,250000000,Área de Infraestrutura social,direto
ESTADO DO MATO GROSSO,,Infraestrutura urbana e turística do Mato Grosso,VIABILIZAR A IMPLANTAÇÃO DA INFRAESTRUTURA TURÍSTICA CONSTANTE DO PROGRAMA  DE DESENVOLVIMENTO ESTRATÉGICO DA CADEIA PRODUTIVA DO TURISMO DO ESTADO DO MATO GROSSO.,27/12/12,1416670,,Operações diretas com Estado/Município
ESTADO DO MATO GROSSO,,Construção da Arena Pantanal e urbanização do entorno.,VIABILIZAR A CONSTRUÇÃO DA ARENA MULTIUSO PANTANAL E A URBANIZAÇÃO DO SEU ENTORNO.,24/11/10,392953,,Operações diretas com Estado/Município
ESTADO DO AMAZONAS,,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).,"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI. FINANCIAMENTO N. 17035320001",06/05/08,400000000,Área de Inclusão Social,direto
ESTADO DO AMAZONAS,,Construção da Arena da Amazônia.,ELABORAÇÃO DO PROJETO EXECUTIVO DA ARENA DA AMAZONIA E SUA CONSTRUÇÃO.,29/12/10,400000000,Área de Inclusão Social,direto
ESTADO DO AMAZONAS,,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).,"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI. FINANCIAMENTO N. 17035320001",29/06/10,187726000,Área de Inclusão Social,direto
ESTADO DO AMAZONAS,,Duplicação da Rodovia Estadual AM-070.,VIABILIZAR DUPLICACAO DA RODOVIA ESTADUAL AM-070.,11/10/12,164000000,Área de Infraestrutura social,direto
ESTADO DO AMAZONAS,,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).,"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI. FINANCIAMENTO N. 17035320001",06/05/08,401112,,Operações diretas com Estado/Município
ESTADO DO AMAZONAS,,Construção da Arena da Amazônia.,ELABORAÇÃO DO PROJETO EXECUTIVO DA ARENA DA AMAZONIA E SUA CONSTRUÇÃO.,29/12/10,388227,,Operações diretas com Estado/Município
ESTADO DO AMAZONAS,,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).,"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI. FINANCIAMENTO N. 17035320001",29/06/10,187726,,Operações diretas com Estado/Município
ESTADO DO AMAZONAS,,Duplicação da Rodovia Estadual AM-070.,VIABILIZAR DUPLICACAO DA RODOVIA ESTADUAL AM-070.,11/10/12,164000,,Operações diretas com Estado/Município
ESTADO DO AMAZONAS,,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).,"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI. FINANCIAMENTO N. 17035320001",29/12/10,11773,,Operações diretas com Estado/Município
ESTADO DO ACRE,,Investimentos no Acre - PIDS III,"FORTALECIMENTO DO TURISMO;IMPLANTAÇÃO DE INFRA-ESTRUTURA URBANA E DE SANEAMENTO, DE SAUDE E EDUCAÇÃO, DE DESENVOLVIMENTO ECONOMICO E INTEGRAÇÃO, DE COMUNICAÇÃO E DESENVOLVIMENTO SOCIAL; E MODERNIZAÇÃO DO SISTEMA DE GESTAO ESTADUAL, NO AMBITO DOS COMPONENTES I A VII DO PIDSIII.",14/04/08,462192306,Área de Inclusão Social,direto
ESTADO DO ACRE,,Investimentos no Acre - PIDS V,"EXPANSAO DO SANEAMENTO AMBIENTAL E DA INFRAESTRUTURA URBANA, FORTALECIMENTO ECONOMICO DA PROCUCAO RUAL FAMILIAR E DO ECOTURISMO, DESENVOLVIMENTO DO SETOR INDUSTRIAL E MODERNIZACAO DA GESTAO PUBLICA, NO AMBITO DA FASE V DO PROGRAMA INTEGRADO DE DESENVOLVIMENTO SUSTENTAVEL DO ESTADO DO ACRE - PIDS V.",09/12/11,641160000,Área de Inclusão Social,direto
ESTADO DO ACRE,,Investimentos no Acre - PIDS III,"FORTALECIMENTO DO TURISMO;IMPLANTAÇÃO DE INFRA-ESTRUTURA URBANA E DE SANEAMENTO, DE SAUDE E EDUCAÇÃO, DE DESENVOLVIMENTO ECONOMICO E INTEGRAÇÃO, DE COMUNICAÇÃO E DESENVOLVIMENTO SOCIAL; E MODERNIZAÇÃO DO SISTEMA DE GESTAO ESTADUAL, NO AMBITO DOS COMPONENTES I A VII DO PIDSIII.",14/04/08,55073532,Área de Insumos Básicos,direto
ESTADO DO ACRE,,Investimentos no Acre - PIDS V,"EXPANSAO DO SANEAMENTO AMBIENTAL E DA INFRAESTRUTURA URBANA, FORTALECIMENTO ECONOMICO DA PROCUCAO RUAL FAMILIAR E DO ECOTURISMO, DESENVOLVIMENTO DO SETOR INDUSTRIAL E MODERNIZACAO DA GESTAO PUBLICA, NO AMBITO DA FASE V DO PROGRAMA INTEGRADO DE DESENVOLVIMENTO SUSTENTAVEL DO ESTADO DO ACRE - PIDS V.",09/12/11,641160,,Operações diretas com Estado/Município
ESTADO DO ACRE,,Desenvolvimento Sustentável no Acre - Fases III e IV,IMPLANTACAO DAS FASES III E IV DO PROGRAMA DE DESENVOLVIMENTO SUSTENTAVEL DO ACRE,14/04/08,518779,,Operações diretas com Estado/Município
