Beneficiário,Perfil do beneficiário,Projeto,Descrição do projeto,Data,Valor,Área,Tipo
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.",Compra de sistema de manuseio e transporte para o porto em São Luís (MA).,"AQUISICAO DE SISTEMA DE MANUSEIO E TRANSPORTE, DENOMINADO 5A LINHA DE EMBARQUE, QUE SERA INSTALADO NO TERMINAL MARITIMO DE PONTA DA MADEIRA-TMPM (SAO LUIS-MA), PARA ATENDIMENTO DO PROJETO PIER IV.",25/03/11,102536220,Área de Insumos Básicos,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",30/06/10,85971308,Área de Insumos Básicos,indireto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",29/06/10,85971308,Área de Insumos Básicos,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",30/06/10,49156089,Área de Insumos Básicos,indireto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",29/06/10,49156089,Área de Insumos Básicos,direto
UTE PORTO DO ITAQUI GERAÇÃO DE ENERGIA LTDA.,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural.","Implantação da termelétrica Porto do Itaqui no município de São Luís (MA), além de linha de transmissão.","IMPLANTAÇÃO DA UTE PORTO DO ITAQUI, LOCALIZADA NO DISTRITO INDUSTRIAL DE SÃO LUIS, MUNICÍPIO DE SÃO LUIS-MA, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 360 MW, BEM COMO LINHA DE TRANSMISSÃO EM 230 KV, CIRCUITO DUPLO, CONECTANDO-SE AO SISTEMA ELÉTRICO DA ELETRONORTE, NA SUBESTAÇÃO SÃO LUIS II.",16/12/09,797648000,Área de Infraestrutura,direto
UTE PORTO DO ITAQUI GERAÇÃO DE ENERGIA LTDA.,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural.","Implantação da termelétrica Porto do Itaqui no município de São Luís (MA), além de linha de transmissão.","IMPLANTAÇÃO DA UTE PORTO DO ITAQUI, LOCALIZADA NO DISTRITO INDUSTRIAL DE SÃO LUIS, MUNICÍPIO DE SÃO LUIS-MA, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 360 MW, BEM COMO LINHA DE TRANSMISSÃO EM 230 KV, CIRCUITO DUPLO, CONECTANDO-SE AO SISTEMA ELÉTRICO DA ELETRONORTE, NA SUBESTAÇÃO SÃO LUIS II.",16/12/09,241822000,Área de Infraestrutura,indireto
UTE PARNAIBA GERACAO DE ENERGIA S/A,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural.",Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).,"IMPLANTACAO DE DUAS USINAS TERMICAS A GAS, UTE MARANHAO IV E V, COM 675,2 MW DE POTENCIA INSTALADA, OBJETO DO LEILAO A-5 DE 2008; NO MUNICIPIO DE SANTO ANTONIO DOS LOPES - MA.",18/12/12,887516000,Área de Infraestrutura,direto
UTE PARNAIBA GERACAO DE ENERGIA S/A,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural.",Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).,"IMPLANTACAO DE DUAS USINAS TERMICAS A GAS, UTE MARANHAO IV E V, COM 675,2 MW DE POTENCIA INSTALADA, OBJETO DO LEILAO A-5 DE 2008; NO MUNICIPIO DE SANTO ANTONIO DOS LOPES - MA.",19/12/11,400000000,Área de Infraestrutura,direto
USIPAR USINA SIDERURGICA DO PARA,"A empresa é a maior produtora de ferro gusa do país. A Usipar é pertencente ao Grupo Cosipar que, por sua vez, é parte do Grupo Costa Monteiro. A Usipar também está associada à empresa inglesa Mir Steel UK. Tinham a Vale como fornecedoras.",Implantação de alto-fornos para produção de ferro gusa e planta de sinterização no município de Bacarena (PA).,"IMPLANTAÇÃO DE DOIS ALTOS-FORNOS PARA PRODUÇÃO DE 500 MIL T/ANODE FERRO GUSA E UMA PLANTA DE SINTERIZAÇÃO, EM BARCARENA -PA.",08/10/08,31190127,Área de Insumos Básicos,direto
TRANSPORTADORA ASSOCIADA DE GÁS S/A TAG,"A TAG, maior transportadora de gás natural do país, é subsidiária da Petrobrás Gás (Gaspetro). A empresa atua no segmento de transporte e armazenagem de gás natural em geral, por meio de gasodutos, terminais ou embarcações próprios ou de terceiros.","Construção do GLPduto Urucu (AM) -Coari (AM), gasoduto Coari (AM) -Manaus(AM), ramais de escoamento e estações de compressão.","CONSTRUÇÃO DO GLPDUTO URUCU-COARI, DO GASODUTO COARI-MANAUS, DE RAMAIS DE ESCOAMENTO EM SETE MUNICÍPIOS E DE DUAS ESTAÇÕES DE COMPRESSÃO.",26/02/10,691702000,Área de Insumos Básicos,direto
