Título,Descrição,Quantidade de ações legais,Descrição das ações legais
Implantação da linha de transmissão Porto Velho (RO) - Araraquara (SP).,"IMPLANTACAO DA LINHA DE TRANSMISSAO PORTO VELHO (RO) - ARARAQUARA 2 (SP), EM 600 KV, COM APROXIMADAMENTE 2.375 KM DE EXTENSAO, INTEGRANTE DO SISTEMA DE TRANSMISSAO DO RIO MADEIRA.",,
Implantação da linha de transmissão Xinguara (PA) e subestações Xinguara (PA) e Carajás (PA).,"IMPLANTACAO DA LINHA DE TRANSMISSAO XINGUARA E SUBESTACOES XINGUARA E CARAJAS, ALEM DAS DEMAIS INSTALACOES ASSOCIADAS AO LOTE D, OBJETO DO LEILAO ANEEL DE LINHA DE TRANSMISSAO 001/2010.",,
Implantação da pequena central elétrica Cidezal entre os municípios de Sapezal (MT) e Campos de Júlio (MT).,"IMPLANTACAO DA PCH CIDEZAL, LOCALIZADA NO RIO JURUENA, ENTRE OS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADO DO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 17,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO DUPLO, COM 230 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",,
"Implantação da pequena central hidrelétrica Santa Gabriela entre os municípios de Itiquira (MT) e Sonora (MS), além da linha de transmissão.","IMPLANTACAO DA PCH SANTA GABRIELA, COM POTENCIA TOTAL INSTALADA DE 24 MW, NO RIO CORRENTES, DIVISA DOS MUNICIPIOS DE ITIQUIRA-MT E SONORA-MS, BEM COMO DA LINHA DE TRANSMISSAO NECESSARIA A INTERLIGACAO AO SISTEMA ELETRICO DA CEMAT - CENTRAIS ELETRICAS MATOGROSSENSES S.A.",,
"Implantação da pequena central hidrelétrica de Salto nos municípios de Jauru (MT) e Indiavaí (MT), além de linha de transmissão.","IMPLANTAÇÃO DA PEQUENA CENTRAL HIDRELETRICA (PCH) SALTO COM 19 MW DE CAPACIDADE, NO RIO JAURU, BACIA HIDROGRAFICA DO RIOPARAGUAI, NOS MUNICÍPIOS DE JAURU E INDIAVAI, ESTADO DO MATOGROSSO, E DA LINHA DE TRANSMISSAO ASSOCIADA.ICO DA CEMAT.",,
"Implantação da pequena central hidrelétrica de Sapezal entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH SAPEZAL, LOCALIZADA NO RIO JURUENA, ENTREOS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADODO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 16,0 MW, BEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 16 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",,
Implantação da pequena central hidreétrica Bocaiúva e sistema de transmissão no município de Brasnorte (MT).,"IMPLANTAÇÃO DA PCH BOCAIUVA, NO RIO CRAVARI, MUNICÍPIO DE BRASNORTE-MT, COM CAPACIDADE INSTALADA DE 30 MW, BEM COMO DO RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO, NECESSARIO A INTERLIGAÇÃO COM A CENTRAIS ELETRICAS MATOGROSSENSES - CEMAT.",,
"Implantação da pequenca central hidrelétrica Telegráfica entre os municípios de Sapezal (MT) e Campos de Júlio (MT), além de linha de transmissão.","IMPLANTACAO DA PCH TELEGRAFICA, LOCALIZADA NO RIO JURUENA, ENTRE OS MUNICIPIOS DE SAPEZAL E CAMPOS DE JULIO, AMBOS NO ESTADO DO MATO GROSSO, COM POTENCIA TOTAL INSTALADA DE 30,0 MWBEM COMO DA LT EM 138 KV, CIRCUITO SIMPLES, COM 53 KM DE EXTENSAO, NECESSARIA PARA INTERLIGACAO A REDE BASICA.",,
Implantação da subestação Castanhal em São Francisco do Pará (PA) e seccionamento da linha de transmissão Vila do Conde (PA) - Santa Maria do Pará (PA).,"IMPLANTACAO, EM CARATER DE REFORCO, DA SUBESTACAO CASTANHAL EM 230 KV, LOCALIZADA NO MUNICIPIO DE SAO FRANCISCO DO PARA - PA, E SECCIONAMENTO DA LINHA DE TRANSMISSAO VILA DO CONDE - SANTA MARIA (230 KV), VISANDO INCORPORAR A NOVA SUBESTACAO.",,
Implantação da subestação e de estações conversoras em Porto Velho (RO),"IMPLANTACAO DA SUBESTACAO COLETORA PORTO VELHO EM 500/230 KV, DE DUAS ESTACOES CONVERSORAS CA/CC/CA TIPO BACK-TO-BACK DE 400 MW CADA E DA LINHA DE TRANSMISSAO EM 230 KV, DOIS CIRCUITOS SIMPLES, COM EXTENSAO APROXIMADA DE 17,3 KM, COM ORIGEM NA SUBESTACAO COLETORA PORTO VELHO E TERMINO NA MESMA.",,
"Implantação da termelétrica Porto do Itaqui no município de São Luís (MA), além de linha de transmissão.","IMPLANTAÇÃO DA UTE PORTO DO ITAQUI, LOCALIZADA NO DISTRITO INDUSTRIAL DE SÃO LUIS, MUNICÍPIO DE SÃO LUIS-MA, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 360 MW, BEM COMO LINHA DE TRANSMISSÃO EM 230 KV, CIRCUITO DUPLO, CONECTANDO-SE AO SISTEMA ELÉTRICO DA ELETRONORTE, NA SUBESTAÇÃO SÃO LUIS II.",2,"[Pedido de reconhecimento de competência do Ibama para o licenciamento ambiental da Usina Termoelétrica Porto do Itaqui](UTE Porto do Itaqui, e não da Secretaria de Meio Ambiente do Maranhão](http://www.prma.mpf.gov.br/noticia-706)

[Fato de o governo maranhense emitir a licença ambiental antes que a empresa apresentasse o Estudo de Impacto Ambiental (EIA) e o Relatório de Impacto Ambiental (RIMA)](http://www.mp.ma.gov.br/index.php/lista-de-noticias-gerais/580-noticia-implantarro-de-usina-termelrtrica-no-distrito-industrial-r-suspensa-pela-justira<br />)"
Implantação das linhas de tranmissão Cuiabá (MT) - Nobres (MT) e Nobres C2 (MT) - Nova Mutum (MT).,"IMPLANTACAO DAS LINHAS DE TRANSMISSAO CUIABA - NOBRES E NOBRES C2 - NOVA MUTUM DE 230 KV, OBJETOS DO LEILAO ANEEL Nº 005 /2009, LOTE D, LOCALIZADAS NO ESTADO DO MATO GROSSO, COM EXTENSAO TOTAL DE 235 KM.",,
Implantação de alto-fornos para produção de ferro gusa e planta de sinterização no município de Bacarena (PA).,"IMPLANTAÇÃO DE DOIS ALTOS-FORNOS PARA PRODUÇÃO DE 500 MIL T/ANODE FERRO GUSA E UMA PLANTA DE SINTERIZAÇÃO, EM BARCARENA -PA.",,
Implantação de estação retificadora de energia elétrica na subestação de Porto Velho (RO) e de estação inversora na subestação de Araraquara 2 (SP).,"IMPLANT.DA ESTACAO RETIFIC.DE CORR.ALTERNADA (CA) EM 500 KV  PARA CORR.CONTINUA (CC) EM 600 KV, COM CAPAC.PARA 3150 MW, LOCALIZ. NA SUBEST.COLETORA P.VELHO-RO E DA ESTACAO INVERSORA DE CC EM 600 KV PARA CA EM 500 KV,COM CAPAC.PARA 2950 MW, LOCALIZ.NA SUBEST.ARARAQUARA 2-SP,(LEILAO 007/08-ANEEL).",,
Implantação de fábrica de cimento em Xambioá (TO).,"IMPLANTACAO DE FABRICA DE CIMENTO EM XAMBIOA - TO, COM CAPACIDADE PRODUTIVA DE<br />450 MIL TONELADAS POR ANO.",,
Implantação de infraestrutura de mina de bauxita em Juruti (PA).,"IMPLANTACAO DE INFRA-ESTRUTURA PARA EXPLORACAO DE MINA DE BAUXITA, COM<br />CAPACIDADE DE PRODUCAO DE 2,6 MILHOES T/ANO, EM JURUTI-PA.",2,"[Pedido de paralisação do empreendimento foi embasado em falhas graves no Estudo de Impactos Ambientais](http://www.prpa.mpf.mp.br/news/2007/noticias1/tribunal-devolve-processo-sobre-alcoa-para-justica-federal-de-santarem/?searchterm=JURUTI)

[cessação e recuperação dos danos ambientais causados ao ecossistema que abriga os igarapés das áreas de influência das rodovias, caminhos de serviços e ferrovia construídos pela empresa](http://mp-pa.jusbrasil.com.br/noticias/2037842/juruti-mp-ajuiza-acao-contra-a-alcoa-por-poluicao-de-igarapes)"
Implantação de linha de transmissão Jauru (MT) - Vilhena (RO),"IMPLANTACAO E OPERACAO DO SISTEMA DE TRANSMISSAO LOCALIZADO NOS ESTADOS DO MT E RO, COMPOSTO PELA LINHA DE TRANSMISSAO JAURU - VILHENA, COM 354 KM DE EXTENSAO EM 230 KV, E, ADICIONALMENTE, INVESTIMENTOS SOCIAIS NAO CONTEMPLADOS NAS CONDICIONANTES DO PROCESSO DE LICENCIAMENTO AMBIENTAL.",,
Implantação de linha de transmissão e subestações coletores entre Porto Velho (RO) e Araraquara (SP),"IMPLANTACAO DE LINHA DE TRANSMISSAO, COM EXTENSAO DE 2.375 KM, DA SUBESTACAO COLETORA PORTO VELHO - RO A SUBESTACAO ARARAQUARA - SP (COMPLEXO DO RIO MADEIRA).",,
Implantação de linha de transmissão entre subestações Cuiabá (MT) e Ribeirãozinho (MT) e entre Ribeirãozinho (MT) e Rio Verde Norte (GO).,"IMPLANTACAO DA LINHA DE TRANSMISSAO EM 500 KV, ENTRE A SUBESTACAO CUIABA E RIBEIRAOZINHO, - MT; E DA LINHA DE TRANSMISSAO EM 500 KV, ENTRE A SUBESTACAO RIBEIRAOZINHO E RIO VERDE NORTE - GO,  REFERENTES AO LEILAO DO COMPLEXO DO RIO MADEIRA.",,
Implantação de pátio de armazenagem para combustíveis derivados do pertróleo e biocombustível e de porto flutuante para distribuição de combustíveis em Itacoatiara (AM).,"IMPLANTACAO DE PATIO DE ARMAZENAGEM COM CAPACIDADE ESTATICA SUPERIOR A 49 MILHOES DE LITROS DE COMBUSTIVEL DERIVADOS DE PETROLEO E BIOCOMBUSTIVEL E DE PORTO FLUTUANTE PARA RECEPCAO E DISTRIBUICAO DE COMBUSTIVEIS, EM ITACOATIARA - AM.",,
Implantação de sistema de saneamento no município de Sinop (MT).,"IMPLANTAÇÃO DO SISTEMA DE ESGOTAMENTO SANITARIO DE SINOP/MT, NA REGIAO CENTRAL DA CIDADE VISAMDO ATENDER A CERCA DE 40% DA POPULAÇÃO URBANA",,
Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).,"IMPLANTACAO DE DUAS USINAS TERMICAS A GAS, UTE MARANHAO IV E V, COM 675,2 MW DE POTENCIA INSTALADA, OBJETO DO LEILAO A-5 DE 2008; NO MUNICIPIO DE SANTO ANTONIO DOS LOPES - MA.",,
"Implantação de terminal rodoferroviário em Alto Taquari (MT), expansão de câmara frigorífica em Cubatão (SP) e construção de ramal ferroviário em Cubatão (SP).","IMPLANTACAO DE TERMINAL INTERMODAL RODOFERROVIARIO EM ALTO TAQUARI - MT, EXPANSAO DE CAMARA FRIGORIFICADA EXISTENTE EM CUBATAO - SP E CONSTRUCAO DE RAMAL FERROVIARIO EM CUBATAO - SP.",,
Implantação de unidade de fabricação de cimento em São Luís (MA).,"10A SULC DO CALC 08208321(METAIS)/DULC 11/VOT CIMENTOS):    IMPLANTACAO DE UMA UNIDADE DE MOAGEM DE CLINQUER PARA FABRICACAO DE CIMENTO, EM SAO LUIS-MA.",,
Implantação de unidade de moagem de cimento no município de Barbacena (PA).,"IMPLANTAÇÃO DE UNIDADE DE MOAGEM DE CIMENTO DO TIPO PORTLAND DE ALTO FORNO (CP III), COM CAPACIDADE DE PRODUÇÃO DE 460 MIL T/ANO, NO MUNICÍPIO DE BARCARENA - PA.",,
Implantação de unidade em refinaria de alumina em São Luís (MA).,"IMPLANTAÇÃO DA UNIDADE 2 DA REFINARIA DO CONSORCIO ALUMAR, COM OBJETIVO DE<br />AUMENTAR A PRODUÇÃO DE ALUMINA EM 2,1 MILHOES DE T/ANO, EM SAO LUIS-MA.",,
Implantação de unidade produtora de cimento em Cuiabá (MT).,"IMPLANTACAO DE UMA UNIDADE INTEGRADA EM CUIABA-MT, COM CAPACIDADE PARA PRODUZIR 1,2 MILHAO DE T/ANO DE CIMENTO.",,
Implantação de unidade produtora de fertilizantes no município de Arraias (TO).,"IMPLANTACAO DE UNIDADE INDUSTRIAL PARA PRODUCAO INTEGRADA DE FERTILIZANTES DO TIPO SUPER FOSFATO SIMPLES(SSP) GRANULADO COM CAPACIDADE NOMINAL DE PRODUCAO DE 600 MIL T/ANO, NO MUNICIPIO DE ARRAIAS, ESTADO DO TOCANTINS,ALEM DE INVESTIMENTOS SOCIAIS NO AMBITO DA COMUNIDADE.",,
Infraestrutura urbana e turística do Mato Grosso,VIABILIZAR A IMPLANTAÇÃO DA INFRAESTRUTURA TURÍSTICA CONSTANTE DO PROGRAMA  DE DESENVOLVIMENTO ESTRATÉGICO DA CADEIA PRODUTIVA DO TURISMO DO ESTADO DO MATO GROSSO.,,
Instalação de fábrica de equipamentos hidromecânicos e de levantamento em Rondônia.,INSTALAÇÃO DE FÁBRICA DE EQUIPAMENTOS  HIDROMECÂNICOS E DE  LEVANTAMENTO EM RONDÔNIA E INVESTIMENTOS SOCIAIS.,,<br />
"Investimento em infraesturtura urbana, além de outros, no município de Rio Branco (AC).","IMPLANTACAO DO PROGRAMA DE DESENVOLVIMENTO INTEGRADO DA CIDADE DE RIO BRANCO (AC), ENVOLVENDO OBRAS DE INFRA-ESTRUTURA URBANA, CONSOLIDACAO DO SETOR TURISTICO, FORTALECIMENTO DA PRODUCAO AGROFLORESTAL E DESENVOLVIMENTO SOCIAL",,
Investimentos em saneamento e abastecimento de água em Manaus (AM).,"INVESTIMENTOS NO SISTEMA DE ABASTECIMENTO DE AGUA, DO PROGRAMA DE REDUCAO DE PERDAS E SISTEMAS DE ESGOTAMENTO SANITARIO DA EMPRESA, NO MUNICIPIO DE MANAUS-AM.",,
Investimentos em saneamento e abastecimento de água no Estado do Acre.,AMPLIAR A MELHORIA DE SISTEMAS DE ABASTECIMENTO DE AGUA E IMPLANTACAO DE SISTEMAS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS DO INTERIOR DO ESTADO DO ACRE,,
Investimentos em saneamento e abastecimento de água no município de Rondonópolis (MT).,"AMPLIAÇÃO DO ACESSO AOS SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO A POPULAÇÃO URBANA DE RONDONOPOLIS(MT), BEM COMO A IMPLEMENTAÇÃO DE MELHORIAS NOS SISTEMAS EXISTENTES, VISANDO A RACIONALIZAÇÃO DE CUSTOS E O AUMENTO DA QUALIDADE DOS SERVICOS.",,
Investimentos em saneamento e abastecimento de água no município de Várzea Grande (MT).,"REALIZAÇÃO DE INVESTIMENTOS EM SANEAMENTO AMBIENTAL, COMPREENDENDO AÇÕES RELACIONADAS A ABASTECIMENTO DE AGUA E ESGOTAMENTO SANITARIO NO AMBITO DO PMI.",,
"Investimentos em saneamento e abastecimento de água, além de outros, no Parque de Ciência de Tecnologia Guama (PCT Guama) no Campus da Universidade Federal do Pará.","IMPLANTACAO DE INFRA-ESTRUTURA DE URBANIZACAO, SANEAMENTO,AGUA ENERGIA E COMUNICACAO DO PARQUE DE CIENCIA E TECNOLOGIA GUAMA (PCT GUAMA) A SER INSTALADO NO CAMPUS DA UNIVERSIDADE FEDERAL DO PARA, BEM COMO A CONSTRUCAO DOS PREDIOS PARAADMINISTRACAO E PARA A INCUBADORA DE EMPRESAS",,
"Investimentos em saneamento e drenagem, além de outros, no município de Rondonópolis (MT).","IMPLANTAÇÃO DE PMI EM AREA DE BAIXA RENDA NO MUNICÍPIO, COMPREENDENDO: DRENAGEM URBANA, SANEAMENTO AMBIENTAL E AÇÕES SOCIAIS.",,
"Investimentos em saneamento, além de outros, no Estado do Pará em municípios na área de influência da Vale.","IMPLANTAÇÃO DE PROGRAMA DE INVESTIMENTOS EM SANEAMENTO, EDUCAÇÃO, SAÚDE E DESENVOLVIMENTO SOCIAL, NOS MUNICÍPIOS DO ESTADO DO PARA SITUADOS NA ÁREA DE INFLUÊNCIA DA COMPANHIA VALE DO RIO DOCE (VALE), COM RECURSOS NÃO REEMBOLS. PROVENIENTES DO FUNDO P/O DESENV. REGIONAL C/RECURSOS DA DESESTATIZAÇÃO FRD",,
"Investimentos em saneamento, drenagem e urbanização no município de Belém (PA).","IMPLANTAÇÃO DE INFRAESTRUTURA DE SANEAMENTO, DE MICRO E DE MACRODRENAGEM E DE URBANIZAÇÃO DE CARÁTER COMPLEMENTAR NA REGIÃO DAS SUB-BACIAS 3 E 4 DA BACIA HIDROGRÁFICA DA ESTRADA NOVA NO MUN-BELEM/PA",,
"Investimentos em urbanismo e transporte, além de outros, no Estado do Pará.","IMPLANTACAO DO PROGRAMA DE INVESTIMENTOS NAS AREAS DE SAUDE, URBANISMO E INFRAESTRUTURA DE TRANSPORTE DO ESTADO DO PARA.",,
"Investimentos na estrada de ferro Carajás, terminal ferroviário Ponta da Madeira e Terminal Marítimo Ponta da Madeira.","INVESTIMENTOS NA ESTRADA DE FERRO CARAJAS (EFC) COM AUMENTODE CAPACIDADE, RAMAL FERROVIARIO PARA LIGACAO A EFC, AQUISICAO DE VAGOES, AMPLIACAO DO TERMINAL FERROVIARIO DA PONTA DAMADEIRA (TFPM) E AMPLIACAO DO TERMINAL MARITIMO DA PONTA DAMADEIRA (TMPM), DENOMINADO PROJETO CLN 150",4,"[Duplicação da EFC: Vale e Ibama não avaliaram de forma correta os impactos sociais e econômicos para comunidades quilombolas vizinhas ao empreendimento](http://www.prma.mpf.gov.br/noticia-3884 e http://www.prma.mpf.gov.br/noticia-4091)

[Reparação dos danos materiais sofridos pelas comunidades de Francisco Romão e Novo Oriente, localizadas no município de Açailândia/MA, com a passagem dos trens pela Estrada de Ferro Carajás (EFC)](http://www.prma.mpf.gov.br/noticia-4519)

[Impactos da duplicação da EFC, que têm atingido as comunidades de Retiro, São João da Mata e outras próximas à região](http://www.prma.mpf.gov.br/noticia-4600)

[Não permissão do embarque de crianças e adolescentes desacompanhados sem autorização de pais ou responsáveis ou da Justiça nos trens da EFC](http://www.mp.ma.gov.br/index.php/lista-de-noticias-gerais/2971-noticia-promotoria-de-santa-luzia-exige-fiscalizarro-no-embarque-de-menores-de-18-anos-desacompanhados-nos-trens-da-vale)"
Investimentos no Acre - PIDS III,"FORTALECIMENTO DO TURISMO;IMPLANTAÇÃO DE INFRA-ESTRUTURA URBANA E DE SANEAMENTO, DE SAUDE E EDUCAÇÃO, DE DESENVOLVIMENTO ECONOMICO E INTEGRAÇÃO, DE COMUNICAÇÃO E DESENVOLVIMENTO SOCIAL; E MODERNIZAÇÃO DO SISTEMA DE GESTAO ESTADUAL, NO AMBITO DOS COMPONENTES I A VII DO PIDSIII.",,
Investimentos no Acre - PIDS V,"EXPANSAO DO SANEAMENTO AMBIENTAL E DA INFRAESTRUTURA URBANA, FORTALECIMENTO ECONOMICO DA PROCUCAO RUAL FAMILIAR E DO ECOTURISMO, DESENVOLVIMENTO DO SETOR INDUSTRIAL E MODERNIZACAO DA GESTAO PUBLICA, NO AMBITO DA FASE V DO PROGRAMA INTEGRADO DE DESENVOLVIMENTO SUSTENTAVEL DO ESTADO DO ACRE - PIDS V.",,
Investimentos no sistema de transportes no município de São Luís (MA).,"EXPANSÃO DO SISTEMA INTEGRADO DE TRANSPORTES - SIT, NO MUNICÍPIO DE SÃO LUÍS-MA, ABRANGENDO INTERVENÇÕES NAS PRINCIPAIS VIAS, IMPLANTAÇÃO DE CICLOVIAS, CANALIZAÇÃO DE TRECHO, BEM COMO AMPLIAÇÃO DE UM TERMINAL DE TRANSPORTE PÚBLICO",,
Investimentos variados no Estado de Rondônia.,"AMPLIAR E MODERNIZAR A INFRAESTRUTURA SOCIAL, ECONOMICA E DA ADMINISTRACAO DO ESTADO DE RONDONIA.",,
Plano de Investimentos ALL Logística,"IMPLANTAÇÃO DO PLANO DE INVESTIMENTOS 2009/2012 DO GRUPO ALL, REFERENTE AS EMPRESAS AMÉRICA LATINA LOGÍSTICA MALHA SUL S/A., FERRONORTE S/A. - FERROVIAS NORTE BRASIL, FERROBAN-FERROVIAS BANDEIRANTES S/A. E FERROVIA NOVOESTE S/A.",,
Plano de investimentos Bahiana,"INVESTIMENTOS 2012/2013, NAS DIVERSAS UNIDADES PERTENCENTES A EMPRESA.",,
Plano de investimentos CELPA,APOIO FINANCEIRO AO PLANO DE INVESTIMENTO 2009-2011 EM DISTRIBUIÇÃO E TRANSMISSÃO NA ÁREA DE CONCESSÃO DA CELPA.,13,"[reclamações feitas por hospitais Dom Bosco e Cristo Salvador, órgãos municipais como a secretaria municipal de assistência social, meio ambiente e produção, Departamento de Trânsito do Estado (Detran), 15º Batalhão Transamazônica, Coordenadoria de trânsito de Itaituba e 34ª Zona eleitoral a respeito do precário funcionamento de energia](http://www.mppa.mp.br/index.php?action=Menu.interna&id=2818&class=N)

[Deficiência no abastecimento diário](http://www.mppa.mp.br/index.php?action=Menu.interna&id=2745&class=N)

[Defesa dos direitos e interesses do consumidor e na defesa do interesse social](http://www.mppa.mp.br/index.php?action=Menu.interna&id=2737&class=N)

[Prestação precária no fornecimento de energia elétrica (oscilações e queda de energia), cobranças indevidas e falta de notificação prévia aos consumidores inadimplentes, ineficiência na entrega das faturas e cobranças por estimativa e não pelo consumo real da unidade consumidora](http://www.mppa.mp.br/index.php?action=Menu.interna&id=2658&class=N)

[Constantes oscilações de energia elétrica, realizando todos os serviços de manutenção necessários com substituição de equipamentos e readequação da rede de distribuição de energia elétrica para que o serviço seja prestado da melhor maneira possível nos municípios de Redenção, Pau D’Arco e Cumaru do Norte](http://www.mppa.mp.br/index.php?action=Menu.interna&id=2102&class=N)

[Má qualidade do fornecimento de energia elétrica nos municípios de Uruará e Placas](http://www.mppa.mp.br/index.php?action=Menu.interna&id=1808&class=N)

[Defesa dos direitos do consumidor](http://www.mppa.mp.br/index.php?action=Menu.interna&id=725&class=N)

[Constantes reclamações da população pela péssima ou mesmo ausência do serviço público de prestação de energia elétrica](http://www.mppa.mp.br/index.php?action=Menu.interna&id=695&class=N)

[Constantes interrupções no fornecimento de energia elétrica do município, causando transtornos e prejuízo aos consumidores](http://www.mppa.mp.br/index.php?action=Menu.interna&id=420&class=N)

[Garantir todos os investimentos necessários para a prestação do serviço de distribuição de energia elétrica no Pará](http://www.prpa.mpf.mp.br/news/2012/mpf-e-mp-do-para-processam-o-grupo-rede-para-garantir-fornecimento-de-energia-a-populacao/?searchterm=celpa)

[Anulação de decisão da Agência Nacional de Energia Elétrica (Aneel) que perdoou o pagamento de indenizações devidas aos consumidores pela Centrais Elétricas do Pará (Celpa) por interrupções no fornecimento de energia](http://www.prpa.mpf.mp.br/news/2012/mpf-quer-anular-decisao-que-livra-celpa-de-pagar-indenizacoes-a-consumidores/?searchterm=celpa)

[Necessidade de revisão e até redução das tarifas praticadas pela Rede Celpa](http://www.prpa.mpf.mp.br/news/2010/noticias/energia-mpf-pa-ajuiza-acao-principal-e-pede-reducao-de-9-79-na-tarifa/?searchterm=celpa)

[Suspender o reajuste em caráter urgente da tarifa de energia elétrica e pede à Justiça determine um reajuste único de 5,72%, de acordo com a inflação](http://www.prpa.mpf.mp.br/news/2010/noticias/mpf-pede-a-justica-que-suspenda-aumento-abusivo-na-energia-1/?searchterm=celpa<br />)"
Plano de investimentos CEMAR 2010-2011,"IMPLANTACAO DO PLANO DE INVESTIMENTO DA EMPRESA PARA O ANO 2010 E 2011 QUE ABRANGE INVESTIMENTOS EM ATUALIZACAO TECNOLOGICA; CONTENCAO DE PERDAS COMERCIAIS; EXPANSAO DE REDE E NOVAS LIGACOES; MELHORIA DA QUALIDADE DO FORNECIMENTO DE ENERGIA, MELHORIA DA OPERACAO DO SISTEMA E INSTALACOES ADM.",,
Plano de investimentos CEMAR 2011-2014,"IMPLANTACAO DO PLANO DE INVESTIMENTOS PARA O PERIODO DE SETEMBRO/2011 - 2014, ABRANGENDO INVESTIMENTOS EM ATUALIZACAO    TECNOLOGICA; CONTENCAO DE PERDAS COMERCIAIS; EXPANSAO DE REDE E NOVAS LIGACOES; MELHORIA DA QUALIDADE DO FORNECIMENTO DE ENERGIA E INVEST P EXPANSAO DE SUBTRANSMISSAO DE ENERGIA",,
Planos de investimento da CEMAR,"INVESTIMENTOS PARA ATUALIZAÇÃO, EXPANSÃO E MELHORIA DO SISTEMA DE TRANSMISSÃO DE ENERGIA",5,"[Ação contra privatização da Cemar. Segundo o autor da ação popular, ajuizada em março de 2001, houve subvalorização da Companhia, além de prejuízo à população pela possível redução da qualidade dos serviços prestados](http://www.prma.mpf.gov.br/noticia-821)

[Cobrança irregular imposta pela Cemar aos consumidores](http://www.mp.ma.gov.br/index.php/lista-de-noticias-gerais/2091-noticia-cobranra-irregular-imposta-pela-cemar-aos-consumidores-r-questionada-pelo-mpma)

[Suspensão imediata da cobrança do PIS (Programa de Integração Social), Pasep (Programa de Formação do Patrimônio do Servidor Público) e Cofins (Contribuição para o Financiamento da Seguridade Social) nas faturas dos consumidores dos municípios que formam a Comarca – Estreito e São Pedro dos Crentes](http://www.mp.ma.gov.br/index.php/lista-de-noticias-gerais/2472-noticia-mpma-ingressa-com-arro-civil-prblica-contra-a-cemar)

[Construção de um loteamento debaixo de uma linha de transmissão de eletricidade (LTE) de alta tensão em Imperatriz](http://www.mp.ma.gov.br/index.php/lista-de-noticias-gerais/7470-imperatriz-mpma-quer-regularizacao-de-loteamento-localizado-sob-rede-eletrica-de-alta-tensao)

[Instabilidade do fornecimento de energia elétrica no município de Dom Pedro (a 255 km de São Luís)](http://www.mp.ma.gov.br/index.php/lista-de-noticias-gerais/7115-dom-pedro-mpma-aciona-cemar-para-regularizar-fornecimento-no-municipio<br />)"
Plano de investimentos Ipiranga,"AMPLIACAO DE TANCAGEM E MODERNIZACAO DAS BASES OPERACIONAIS E POOLS LOCALIZADOS NOS ESTADOS DE SAO PAULO, MINAS GERAIS, RIO DE JANEIRO, PARANA, RIO GRANDE DO SUL, BAHIA, MATO GROS-SO, MATO GROSSO DO SUL, PAR , AMAPA, AMAZONAS E RORAIMA.",,
Reestruturação do sistema viário de Belém (PA).,REESTRUTURAÇÃO DO SISTEMA VIÁRIO ALIMENTADOR DA REGIÃO METROPOLITANA DE BELÉM.,,
