Título,Descrição,Quantidade de ações legais,Descrição das ações legais
Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).,"CONSTRUÇÃO DE UMA NOVA UNID. INDUSTRIAL COM CAPAC. DE PRODUÇÃO DE 1,4 MILHÃO DE TON/ANO DE CELULOSE BRANQUEADA DE EUCALIPTO EM IMPERATRIZ-MA, BEM COMO IMPLANTAÇÃO DA INFRAESTRUTURA DE APOIO NECESSÁRIA A FUTURA OPERAÇÃO DA NOVA PLANTA E INVESTIMENTOS SOCIAIS E AMBIENTAIS NA ÁREA DE INFLUÊNCIA.",1,[Empresa foi processada pela morte de dois trabalhadores em fábrica em Imperatriz](http://portal.mpt.gov.br/wps/portal/portal_do_mpt/comunicacao/noticias/conteudo_noticia/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3hH92BPJydDRwN_E3cjA88QU1N3L7OgMC93I_2CbEdFAAovLRY!/?WCM_GLOBAL_CONTEXT=/wps/wcm/connect/mpt/portal+do+mpt/comunicacao/noticias/mpt+pede+indenizacao+de+rs+50+mi+em+acao+contra+suzano+celulose)
"Construção do GLPduto Urucu (AM) -Coari (AM), gasoduto Coari (AM) -Manaus(AM), ramais de escoamento e estações de compressão.","CONSTRUÇÃO DO GLPDUTO URUCU-COARI, DO GASODUTO COARI-MANAUS, DE RAMAIS DE ESCOAMENTO EM SETE MUNICÍPIOS E DE DUAS ESTAÇÕES DE COMPRESSÃO.",1,[Suspensão da licença prévia do Ibama](http://6ccr.pgr.mpf.mp.br/atuacao-do-mpf/acao-civil-publiva/docs_classificacao_tematica/Acao_Cautelar_contra_IBAMA_IPAAM_PETROBRAS_gasoduto_pram.pdf)
Desenvolvimento Sustentável no Acre - Fases III e IV,IMPLANTACAO DAS FASES III E IV DO PROGRAMA DE DESENVOLVIMENTO SUSTENTAVEL DO ACRE,,
Duplicação da Rodovia Estadual AM-070.,VIABILIZAR DUPLICACAO DA RODOVIA ESTADUAL AM-070.,,
Expansão da malha ferroviária (ex-Ferronorte) entre Alto Araguaia (MT) e Rondonópolis (MT).,"EXPANSÃO DA MALHA DA ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A. (EXFERRONORTE), COM A CONSTRUÇÃO DE CERCA DE 262 KM ENTRE ALTO ARAGUAIA ERONDONOPOLIS, ESTADO DO MATO GROSSO.",2,"[Implantar um sistema logístico que evite os congestionamentos frequentes de caminhões nos terminais que a empresa utiliza no município](http://www.mp.mt.gov.br/conteudo.php?sid=58&cid=61355&parent=58)

[Irregularidades no processo de licenciamento do Loteamento Parque Industrial – Fazenda ALL. Na ação, o MPE questionou a doação de uma área realizada pela empresa ao município, na zona rural, para compensar a ausência de área verde no empreendimento](http://www.mp.mt.gov.br/conteudo.php?sid=58&cid=62538&parent=58<br />)"
Expansão e Qualidade Operacional CEMAR,"IMPLEMENTACAO DO ""PROJETO EXPANSAO E QUALIDADE OPERACIONAL CEMAR"", DESTINADO A INVESTIMENTOS PARA IMPLANTACAO DO PROGRAMA DE COMBATE AS PERDAS COMERCIAIS DE ENERGIA, BEM COMO PARA A REALIZACAO DE NOVAS LIGACOES E RENOVACAO TECNOLOGICA.",,
Fábrica de Polipropileno em Manaus (expansão),"EXPANSAO DA UNIDADE DE FABRICACAO DE BOPP - POLIPROPILENO BIORIENTADO LOCALIZADA EM MANAUS (DE 37.500 TONELADAS/ANO PARA 112.500 TONELADAS/ANO), A PARTIR DA IMPLANTACAO DE DUAS NOVAS LINHAS DE PRODUCAO.",,
Fábrica de Polipropileno em Manaus (implantação),"IMPLANTAÇÃO DE UNIDADE DE PRODUÇÃO DE FILME DE POLIPROPILENO BIORIENTADO (BOPP), COM CAPACIDADE DE PRODUÇÃO DE 37.500T/ /ANO, NO PÓLO INDUSTRIAL DE MANAUS (AM), E INVESTIMENTOS SOCIAIS VOLTADOS PARA A COMUNIDADE.",,
"Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC.","IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",4,"[Compensação da Hidrelétrica de Estreito deve ficar no Tocantins e Maranhão](http://www.prto.mpf.mp.br/news/compensacao-ambiental-da-uhe-estreito)

[Complementação do Estudo de Impacto Ambiental (EIA/RIMA)](http://www.prto.mpf.mp.br/news/justica-federal-anula-licenca-de-instalacao-da-usina-hidreletrica-de-estreito)

[Descumprimento de condicionantes para obtenção de licença ambiental e inserção de informações falsas em relatórios ao Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama), responsável pela condução do licenciamento da usina](http://www.prto.mpf.mp.br/news/mpf-to-ajuiza-denuncia-e-acao-civil-publica-contra-consorcio-empreendedor-da-usina-de-estreito)

[Não cumprimento de obrigações assumidas para o licenciamento ambiental do empreendimento, ao não realizar nenhuma ação mitigadora para evitar a mortandade de peixes durante testes de unidade geradora](http://www.prto.mpf.mp.br/news/mpf-to-propoe-acao-civil-contra-ceste-por-mortandade-de-peixes<br />)"
Implantação da hidrelétrica Santo Antônio do Jari entre os municípios de Almerim (PA) e Laranjal do Jari (AP).,"IMPLANTACAO DA UHE SANTO ANTONIO DO JARI COM 373 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO JARI, ENTRE OS MUNICIPIOS DE ALMEIRIM (PA) E LARANJAL DO JARI (AP), OBJETO DO 11§ LEILAO DE ENERGIA NOVA (2010) DA ANEEL.",1,[Irregularidades no licenciamento do projeto da usina. Pedido de anulação da licença ambiental](http://www.prpa.mpf.mp.br/news/2013/justica-federal-notifica-acusados-de-irregularidades-em-concessao-da-licenca-ambiental-da-hidreletrica-de-santo-antonio-do-jari/?searchterm=jari)
